Band	Genre	Status	City	State
Angel of Light	Black Metal	Split-up	Piracicaba	São Paulo
Angel X	Progressive/Power Metal	Split-up	São Paulo	São Paulo
Angel's Fire	Heavy/Power Metal	Active	Recife	Pernambuco
Angelique	Symphonic Doom Metal	Active	Rio de Janeiro	Rio de Janeiro
Angels Holocaust	Heavy Metal	Active	Itapetininga	São Paulo
Angels of Disease	Power Metal	Changed name	Tatuí	São Paulo
Anger	Thrash Metal	Split-up	Campinas	São Paulo
Anger Cult	Death/Thrash Metal	Active	Jaraguá do Sul	Santa Catarina
Angerise	Death Metal	Split-up	Belo Horizonte	Minas Gerais
Anglachel	Heavy Metal	Split-up	Jaguariúna	São Paulo
Angra	Progressive Power Metal	Active	São Paulo	São Paulo
Angry	Thrash Metal	Active	Mauá	São Paulo
Anguish Project	Heavy Metal	Active		
Angústia	Black Metal/Shoegaze	Split-up	Lavras	Minas Gerais
Angustifolia	Depressive Black Metal	Split-up	São Paulo	São Paulo
Anhaguama	Death/Black Metal	Active	Arujá	São Paulo
Anhan	Depressive Black Metal	Active	Nossa Senhora da Glória	Sergipe
Anhangah	Raw Black Metal	Active	Artur Nogueira	São Paulo
Anhedonia	Black Metal	Active	São Paulo	
Anhthrone	Heavy Metal	Changed name	São Paulo	São Paulo
Aniima	Power Metal	Split-up		
Animus Atra	Death/Doom Metal	Active	Cosmopolis	São Paulo
Animus Difamandi	Black Metal	Active	Tanabi	São Paulo
Animus Missionali	Melodic Power/Heavy Metal	Unknown	Brasília	Distrito Federal
Animus Necandi	Thrash Metal	Active	Salvador	Bahia
Anjos de Salém	Heavy/Power Metal	Unknown	Belém	Pará
Anjos Negros	Heavy Metal	Split-up	São Paulo	São Paulo
Ankerkeria	Death Metal	Active	Fortaleza	Ceará
Ankh	Heavy Metal	Unknown	Porto Alegre	Rio Grande do Sul
Ankhalimah	Symphonic Power Metal	Split-up	Niterói	Rio de Janeiro
Ankhy	Symphonic/Progressive Metal	Active	Curitiba	Paraná
Ankt	Black/Doom Metal	Active	São Paulo	São Paulo
Anlis	Gothic Metal/Rock	Split-up	Rio Grande do Sul	
Anmod	Brutal Death Metal/Grindcore	Active	Curitiba	Paraná
Annihilation	Death Metal	Active	Osasco	São Paulo
Anno Zero	Gothic Metal/Rock	Active	Teresina	Piauí
Anointing	Thrash Metal	Split-up	Minas Gerais	
Anomalia Visceral	Slam/Brutal Death Metal/Goregrind	Active	Angra dos Reis	Rio de Janeiro
Anomalistic	Slam/Brutal Death Metal	Unknown	São Paulo	São Paulo
Anonymous Hate	Death Metal/Grindcore	Split-up	Macapá	Amapá
Anopheles	Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Anopsy	Brutal Death Metal	Split-up	Duque de Caxias	Rio de Janeiro
Anorak	Raw Black Metal	Active	Rio de Janeiro	Rio de Janeiro
Anorkia	Death Metal	Split-up	Curitiba	Paraná
Another	Heavy Metal	Unknown		
Another Rise	Deathcore	Unknown	Uberlândia	Minas Gerais
Anphisbenah	Death Metal	Unknown	Porto Alegre	Rio Grande do Sul
Ansata	Progressive Metal	Split-up	Piracicaba	São Paulo
Anschluss	Death/Thrash Metal	Unknown	Rio de Janeiro	Rio de Janeiro
Ansgar	Viking Metal	Active		
Ânsia de Vômito	Death Metal/Grindcore	Active	São Luís	Maranhão
Antcorpus	Thrash Metal	Split-up	Parauapebas	Pará
Anthares	Speed/Thrash Metal	Active	São Paulo	São Paulo
Anthe	Blackened Melodic Death Metal	Active		
Anthem	Death/Black Metal	Split-up	Santa Rita do Sapucai	Minas Gerais
Anthropophagical Warfare	Death Metal	Split-up	Recife	Pernambuco
Anthropophagus Maniac	Black Metal	Active	Teresina	Piauí
Anti Life	Raw Black Metal	Active	Nova Friburgo	Rio de Janeiro
Anti-God Squad	Death Metal	Active	São Paulo	São Paulo
Antichrist Dominius	Black Metal	Active		
Antichrist Hooligans	Thrash Metal/Punk	Active	Florianópolis	Santa Catarina
Anticonsecration	Black/Death Metal/Noise	Changed name	Belém	Pará
Anticristo	Death Metal	Active	Espírito Santo	
Antidemon	Death Metal/Grindcore	Active	São Paulo	São Paulo
Antifa	Black/Death Metal/Grindcore, Noise	Active		
Antiklan	Sludge/Doom Metal	Active	Natal	Rio Grande do Norte
Antimonument	Black/Death Metal	Active		
Antireligion	Black/Thrash Metal	Active	São Paulo	São Paulo
Antisistema	Heavy Metal	Split-up	Belo Horizonte	Minas Gerais
Antítese	Thrash/Death Metal	Split-up	Osasco	São Paulo
Antro	Heavy/Stoner Metal	Split-up	Teresópolis	Rio de Janeiro
Antrochaotic	Death Metal	Active	Cuiabá	Mato Grosso
Antroforce	Thrash Metal	Active	Carapicuíba	São Paulo
Antropoceno	Avant-garde Black Metal	Active	São Paulo	São Paulo
Antropofagia	Death Metal/Grindcore	Split-up	Olinda	Pernambuco
Antropofectus	Death/Black Metal	On hold	Magé	Rio de Janeiro
Antrvm	Groove/Death Metal/Metalcore	Active	São Paulo	São Paulo
Anübiis	Speed/Black Metal	Active		
Anubis	Black Metal	Active		
Anubis	Thrash Metal	Active	Belém	Pará
Anunaki	Heavy Metal	Active	Mogi das Cruzes	São Paulo
Anunnaki	Black Metal/Grindcore	Split-up	Manaus	Amazonas
Aode	Progressive Metal	Active	Rio de Janeiro	Rio de Janeiro
Apantropia	Death Metal	Active	Timóteo	Minas Gerais
Apathoia	Death/Doom Metal	Active	Fortaleza	Ceará
Ape X and the Neanderthal Death Squad	Groove/Thrash Metal	Split-up	Brasília	Distrito Federal
Apeiron	Progressive Metal/Rock	Active	Ouro Branco	Minas Gerais
Apeyron	Heavy/Doom/Progressive Metal	Split-up	Belém	Pará
Aphellium	Extreme Progressive Metal	Active		
Aphorism	Black/Death Metal	Active	Salvador	Bahia
Aphotic Spectre	Funeral Doom Metal	Active	Brasília	Distrito Federal
Apocalipse Now	Power Metal	Split-up	Unaí	Minas Gerais
Apocalipse Prophecy	Heavy/Power Metal	Split-up	Brasília	Distrito Federal
Apocalypse	Thrash Metal	Split-up	Itu	São Paulo
Apocalypse Zombie Now	Death Metal/Grindcore	Active	Catanduva	São Paulo
Apocalyptic Storm	Thrash Metal	Active	Cruzeiro	São Paulo
Apocrifo	Thrash Metal	Split-up	Fortaleza	Ceará
Apócrifos	Doom Metal	Active	São Francisco do Sul	Santa Catarina
Apócrifus	Black Metal	Active	Bagé	Rio Grande do Sul
Apocryph	Epic Atmospheric Avant-garde Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Apoka	Black Metal	Active	São Paulo	São Paulo
Apokalyptic Raids	Black/Death/Thrash Metal	Active	Rio de Janeiro	Rio de Janeiro
Apokalyptisk Framtid	Black Metal/Punk/Noise	Active	Catanduva	São Paulo
Apokatastase	Thrash/Death Metal	Active	São Paulo	São Paulo
Apokrisis	Thrash/Death Metal	On hold	São Paulo	São Paulo
Apoleon	Thrash Metal	Split-up	São Paulo	São Paulo
Apoliom	Thrash Metal	Split-up	Itabira	Minas Gerais
Apollyon	Heavy Metal	Split-up	Formosa	Goiás
Apollyon	Symphonic/Melodic Death Metal	Split-up	Curitiba	Paraná
Apophanous	Progressive Thrash Metal	Active	São Paulo	São Paulo
Apophizys	Death Metal	Split-up	Passo Fundo	Rio Grande do Sul
Aporya	Melodic Doom/Death Metal	Active	Campina Grande	Paraíba
Apostasia	Death Metal	Split-up	Farroupilha	Rio Grande do Sul
Apóstasis	Melodic Black/Death Metal	Active	Brasília	Distrito Federal
Apoteom	Groove Metal	Active	Santa Maria	Rio Grande do Sul
Apotheke der Seele	Black/Post-Metal	Active	Fazenda Rio Grande	Paraná
Apple Sin	Heavy Metal	Active	Barroso	Minas Gerais
Apshait	Progressive Heavy Metal	Split-up	Barbacena	Minas Gerais
Apus	Black/Death Metal	Active	Salvador	Bahia
Aquaria	Symphonic Power Metal	Active	Rio de Janeiro	Rio de Janeiro
Aquelarre	Black Metal	Split-up	São Paulo	São Paulo
Aqueronte	Black Metal	Active	Curitiba	Paraná
Aqueronte DM	Atmospheric Death/Doom Metal	Active	Salvador	Bahia
Aquila	Progressive Metal	Changed name	São Paulo	São Paulo
Aquiles Priester | Gustavo Carmo	Progressive Metal	Active		
Ar da Desgraça	Black Metal	Active	Timbó	Santa Catarina
Arab Zaraq	Black Metal	Split-up		
Arabesco	Acoustic, Sludge/Doom Metal	Active	São Paulo	São Paulo
Aracranios	Black/Death Metal	Split-up	São Fidélis	Rio de Janeiro
Arahmok	Raw Black Metal	Split-up		
Arandu Arakuaa	Folk Metal	Active	Brasília	Distrito Federal
Arani	Pagan Black Metal	Active	Natal	Rio Grande do Norte
Arautos do Caos	Thrash/Speed Metal	Active	Osasco	São Paulo
Arbach	Black Metal	Split-up	Anápolis	Goiás
Arbovirus	Brutal Death Metal/Grindcore	Active	Itaí	São Paulo
Arc of Death	Death Metal	Active	Araguari	Minas Gerais
Arcana Elysium	Symphonic Metal	Active	Petrópolis	Rio de Janeiro
Arcana Mea	Death/Thrash Metal	Active	Cachoeira do Sul	Rio Grande do Sul
Arcandria	Heavy/Power Metal	Split-up	Abreu e Lima	Pernambuco
Arcane Aeon	Death Metal	Split-up	Americana	São Paulo
Arcania	Epic/Atmospheric Black Metal	Active	Poços de Caldas	Minas Gerais
Arcanjo	Thrash Metal	Active	Brasília	Distrito Federal
Arcano Arconte	Black Metal	Active	Sete Lagoas	Minas Gerais
Arcantis	Symphonic Power Metal	Active	Salvador	Bahia
Arcanu Anima	Doom Metal	Split-up	Guarulhos	São Paulo
Archaean	Black Metal	Unknown	Caruaru	Pernambuco
Archaeus	Power/Speed Metal	Split-up	São Paulo	São Paulo
Archangellus	Black Metal	Split-up	Barbacena	Minas Gerais
Archard	Melodic Heavy Metal	Unknown	Aquiraz	Ceará
Archemeday	Black Metal	Split-up	Erechim	Rio Grande do Sul
Archenar	Melodic Death Metal	Split-up	Belo Horizonte	Minas Gerais
Archityrants	Epic Doom Metal	Active	Curitiba	Paraná
Archote	Metalcore	Split-up	São Paulo	São Paulo
Archtype	Power Metal	Changed name	São Paulo	
Archytas	Black Metal	Active	São Paulo	
Ardil	Death Metal	Active	Porto Alegre	Rio Grande do Sul
Are You God?	Brutal Death Metal/Grindcore	Split-up	São Paulo	São Paulo
Arelok	Black Metal	Split-up	Uberlândia	Minas Gerais
Arena	Heavy/Power Metal	Unknown	São Paulo	São Paulo
Arena	Heavy/Power Metal	Split-up	Espírito Santo	
Arena Age	Thrash Metal	Active	Canoas	Rio Grande do Sul
Arena X	Heavy/Power Metal	Unknown	Natal	Rio Grande do Norte
Ares Wrath Division	Black Metal	On hold	Caxias do Sul	Rio Grande do Sul
Arghon	Progressive/Power Metal	Split-up	São Bernardo do Campo	São Paulo
Argos	Heavy Metal	Active	São Paulo	São Paulo
Arguerom	Progressive Heavy/Doom Metal	Active	Brasília	Distrito Federal
Ariel n' Caliban	Groove/Thrash Metal	Split-up	Campinas	São Paulo
Ariel/Kaliban	Power Metal	Active	Palmeira Dos Índios	Alagoas
Arimã	Raw Black Metal	Active	Itápolis	São Paulo
Arise	Thrash Metal	Active	São Luís	Maranhão
Arisen	Thrash Metal	Active	Corumbá	Mato Grosso do Sul
Arithmetic Overflow	Progressive Post-Metal	Active	João Pessoa	Paraíba
Ark of Sin	Melodic Death Metal	Active	Fortaleza	Ceará
Arkadyah	Progressive/Power Metal	Changed name	São Paulo	São Paulo
Arkänermond	Raw Black Metal/Dungeon Synth	Active	Campinas	São Paulo
Arkanger	Black/Death Metal	Active	Santa Vitória do Palmar	Rio Grande do Sul
Arkanum	Symphonic Black Metal	Active	Rio de Janeiro	Rio de Janeiro
Arkanun	Thrash Metal	Split-up	Natal	Rio Grande do Norte
Arkanus	Heavy Metal	Unknown		
Arkanus ad Noctum	Black Metal	Active	Teresina	Piauí
Arkariot	Power Metal	Active	Bento Gonçalves	Rio Grande do Sul
Arkellian	Thrash Metal	Split-up	São Paulo	São Paulo
Arken	Heavy Metal	Active	São Paulo	São Paulo
Arkhaikus	Thrash Metal	Split-up	Presidente Prudente	São Paulo
Arkhôn Tôn Daimoniôn	Black Metal	Active	Salvador	Bahia
Arkkam	Power Metal	Unknown	São Paulo	São Paulo
Arkkham	Death Metal	Unknown	Jundiaí	São Paulo
Arma	Blackened Speed Metal/Punk	Active	São Paulo	São Paulo
Armadilha	Heavy/Speed Metal	Active	São Paulo	São Paulo
Armagbuwar	Black/Death Metal	Unknown		
Armagedom	Thrash/Death Metal/Crossover	Active	São Paulo	São Paulo
Armaggedon	Death Metal	Active	Arcoverde	Pernambuco
Armahda	Heavy/Power Metal	Active	São Paulo	São Paulo
Armas de Marfim	Heavy Metal	Split-up	São Paulo	São Paulo
Armiferum	Progressive/Power Metal	Active	São Paulo	
Armiilus	Black Metal	Split-up	Santa Luzia	Minas Gerais
Armmagedon	Thrash Metal	Split-up	Belo Horizonte	Minas Gerais
Armon	Gothic/Doom Metal	Active	Porto Alegre	Rio Grande do Sul
Armored Dawn	Power Metal	Active	São Paulo	São Paulo
Armum	Death Metal	Active	Goiânia	Goiás
Army Kaos	Death Metal	Active	Belo Horizonte	Minas Gerais
Army of Agony	Death/Thrash Metal	Unknown	São Paulo	São Paulo
Arnion	Thrash Metal	Active	Goiânia	Goiás
Aroma de Saturno	Sludge/Doom/Stoner Metal	Active	Blumenau	Santa Catarina
Arrastado	Stoner/Doom Metal	Active	Brasília	Distrito Federal
Ars Moriendi	Raw Black Metal	Unknown		
Ars Nenia	Black Metal	Split-up	Brasília	Distrito Federal
Ars Notoria	Black Metal	Active	Curitiba	Paraná
Ars Tenebrae	Death/Black Metal	Active	Pouso Alegre	Minas Gerais
Arsenal	Thrash Metal	Split-up	Itajaí	Santa Catarina
Arsenal Renegade	Heavy Metal	Active	Rio de Janeiro	Rio de Janeiro
Arsênio	Thrash Metal	Active	Foz do Iguaçu	Paraná
Art Malefica	Raw Black Metal	Active	Ferraz de Vasconcelos	São Paulo
Art of Khaos	Progressive Power Metal	Split-up	Brasilia	Distrito Federal
Art of Torture	Death Metal	Active	João Pessoa	Paraíba
Arte Grotesca	Death Metal	Active	Rio de Janeiro	
Arte Oculta	Black Metal	Split-up	Bento Gonçalves	Rio Grande do Sul
Ártemis	Gothic/Doom Metal	Changed name	Natal	Rio Grande do Norte
Arthanus	Melodic Death Metal	Active	São Caetano do Sul	São Paulo
Arthery Project	Melodic Groove/Death Metal	Active	Jales	São Paulo
Artilharia	Thrash/Death Metal	Split-up	Jaguariúna	São Paulo
Artilharia	Heavy Metal	Unknown	Gravatá	Pernambuco
Artless	Thrash Metal	Split-up	Petrópolis	Rio de Janeiro
Arton	Heavy/Power Metal	Unknown	Olímpia	São Paulo
Arum	Black/Death Metal	Active	São Paulo	São Paulo
Arvak	Melodic Black/Death Metal	Active	Aparecida de Goiânia	Goiás
Arvorar	Atmospheric Black Metal/Dark Ambient	Split-up	Blumenau	Santa Catarina
Aryan 88	Black Metal	Unknown	Niterói	Rio de Janeiro
Aryan Wood	Raw Black Metal, Harsh Noise	Split-up	São Paulo	São Paulo
Aryuz	Heavy Metal	Active	São Paulo	São Paulo
As Dramatic Homage	Black/Doom Metal (early); Extreme Progressive Metal (later)	Active	Rio de Janeiro	Rio de Janeiro
As I Die	Depressive Black Metal	Active	Ribeirão Pires	São Paulo
As Prophecies	Black Metal	Split-up	Belo Horizonte	Minas Gerais
As the Palaces Burn	Groove Metal	Active	Criciúma	Santa Catarina
As the Shadows Fall	Black Metal	Split-up	Jaboatão	Pernambuco
As Vampiric Shades and Belial Winds	Black Metal	Active	Brasília	Distrito Federal
Asaradel	Black/Doom Metal (early); Gothic Rock (later)	Active	Barbacena	Minas Gerais
Asas Celestiais	Heavy/Power Metal	Active	Rio de Janeiro	Rio de Janeiro
Ascendente	Death/Groove Metal	Changed name	São Paulo	São Paulo
Ascoroso	Death Metal/Goregrind	Active	Sousa	Paraíba
Asfixia	Thrash Metal	Unknown	Campinas	São Paulo
Asgard	Death/Thrash Metal	Split-up	Passo Fundo	Rio Grande do Sul
Asgard	Viking/Folk Metal	Active	Lages	Santa Catarina
Asgard	Thrash Metal	Split-up	Goiânia	Goiás
AshBürn	Power Metal	Active	Vitória	Espírito Santo
Ashema Deva	Death/Black Metal	Unknown	Salvador	Bahia
Ashes	Heavy Metal	Active	Fortaleza	Ceará
Ashes of Mirra	Progressive Metal	Active	Rio de Janeiro	Rio de Janeiro
Ashtar	Progressive Folk Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Ashtoreth	Doom/Black Metal	Active	Florianópolis	Santa Catarina
Ashtray	Thrash/Death Metal	Active	Vila Velha	Espírito Santo
Ask You Why	Melodic Heavy Metal	Split-up	Careaçu	Minas Gerais
Aske	Black/Death Metal	Active	São Carlos	São Paulo
Asmodead	Death Metal	Active	Teresina	Piauí
Asmodeu	Thrash Metal	Split-up	Santos	São Paulo
Asmodeus	Thrash/Death Metal	Active	Fortaleza	Ceará
Asmodina	Melodic Death/Black Metal	Split-up	Teresina	Piauí
Asper	Heavy Metal	Changed name	Porto Alegre	Rio Grande do Sul
Asphyxiated	Death Metal	Active	Salvador	Bahia
Asphyxihate	Thrash Metal	Active	Balneário Camboriú	Santa Catarina
Aspidis	Black/Death Metal	Active	Jaraguá do Sul	Santa Catarina
Ass Flavour	Death Metal/Grindcore	Active	Vila Velha	Espírito Santo
Assassination	Death/Thrash Metal	Changed name	Itajaí	Santa Catarina
Assassinato	Raw Black Metal	Active	São Paulo	São Paulo
Assault	Speed/Thrash Metal	Active	Vitória da Conquista	Bahia
Assustador	Thrash/Death Metal	Active		
Astafix	Groove Metal (early); Djent/Groove Metal (later)	On hold	São Paulo	São Paulo
Astaria	Heavy Metal	Active	Cachoeirinha	Rio Grande do Sul
Astaroth	Heavy Metal	Split-up	Porto Alegre	Rio Grande do Sul
Astaroth Cult	Melodic Black Metal	Active	Minas Gerais	
Asterean	Melodic Black/Death Metal	Active	São Paulo	São Paulo
Asterlot	Death Metal	On hold	Rio de Janeiro	Rio de Janeiro
Asteroidea	Progressive Metal, Shred	Split-up	Salvador	Bahia
Asthar	Heavy Metal	Active	Betim	Minas Gerais
Astövidatüs	Black Metal	Split-up	Blumenau	Santa Catarina
Astra	Progressive Metal/Hard Rock	Split-up	São Paulo	São Paulo
Astralscape	Melodic Black Metal	Active	Rio de Janeiro	
Astrum Aurora	Black Metal	Split-up	Governador Valadares	Minas Gerais
Asylum	Doom/Black Metal	Split-up	Araguari	Minas Gerais
Asylum Gates	Doom/Death Metal	Active	Araras	São Paulo
At the Edge of the Cliff	Black Metal	Active	Campina Grande Do Sul	Paraná
Ata D'arc	Heavy Metal	Unknown	Belo Horizonte	Minas Gerais
Atacke Nuclear	Thrash Metal	Active	Três Corações	Minas Gerais
Atani	Thrash/Heavy Metal	Unknown		
Ataque	Thrash Metal	Unknown	São Paulo	São Paulo
Ataque Epilético	Death Metal, Noise	Active	São Paulo	São Paulo
Ataque Nuclear	Thrash Metal/Crossover	Unknown	Campo Grande	Mato Grosso do Sul
Ataque Relâmpago	Thrash Metal	Active	Itapevi	São Paulo
Ataque Satânico	Black Metal	Active	Campina Grande	Paraíba
Ataque Violento	Thrash Metal	Active	Campina Grande	Paraíba
Atarka	Folk Metal	Active	Bragança Paulista	São Paulo
Ater Letum	Extreme Symphonic Metal	Split-up	Campinas	São Paulo
Ater Nocturnus	Black Metal	Active	Santa Fé do Sul	São Paulo
Atestado de Óbito	Thrash Metal/Hardcore	Active	Tabapuã	São Paulo
Athar	Metalcore	Active	Campina Grande	Paraíba
Atheistc	Symphonic/Melodic Black Metal	Unknown	Governador Valadares	Minas Gerais
Athemon	Progressive Metal	Active	São Paulo	
Ätherisch	Drone/Doom Metal	Split-up	Osasco	São Paulo
Athos	Heavy Metal	Unknown	Fortaleza	Ceará
Athron	Death/Thrash Metal	Split-up		
Athus Cerimonae	Black Metal/Dark Ambient	Active		
Atlantic Wall	Black Metal	Split-up	Bauru	São Paulo
Atlantida	Progressive Rock/Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Atlantis	Heavy Metal	Active	Jaraguá do Sul	Santa Catarina
Atomic Blast	Thrash Metal	Unknown	Parnaíba	Piauí
Atomic Fear	Death Metal	Split-up	Timóteo	Minas Gerais
Atomic Roar	Thrash Metal	Active	Rio de Janeiro	Rio de Janeiro
Atomic Thrash	Thrash Metal	On hold	Rio de Janeiro	Rio de Janeiro
Atomic Thrasher	Thrash Metal	Split-up	Santo André	São Paulo
Atra	Black Metal	Active	Lages	Santa Catarina
Atria	Thrash Metal/Metalcore	Split-up	Maricá	Rio de Janeiro
Atrito Urbano	Thrash Metal/Crossover	Active	Natal	Rio Grande do Norte
Atrocitus	Thrash Metal/Metalcore	Active	Curitiba	Paraná
Atrocity	Thrash Metal	Split-up	São Paulo	São Paulo
Atropelo	Thrash Metal/Crossover	Active	Mauá	São Paulo
Atropina	Thrash/Death Metal (early); Death Metal (later)	Active	Teutônia	Rio Grande do Sul
Atrorium	Symphonic Metal	Active	Teresina	Piauí
Atroz	Heavy/Progressive Metal	Unknown	Juiz de Fora	Minas Gerais
Atrymo	Death/Black Metal	Active	João Pessoa	Paraíba
Attack Force	Heavy Metal (early); Groove/Thrash Metal (later)	Active	Atibaia	São Paulo
Attack Kamikaze	Heavy/Thrash Metal	Active	Breves	Pará
Attackill	Thrash Metal	Split-up	São Paulo	São Paulo
Attero	Thrash Metal/Hardcore	Active	Uberlândia	Minas Gerais
Attitude Force	Heavy Metal	Unknown	São Paulo	São Paulo
Attma	Death/Groove Metal	Active	Parnaíba	Piauí
Attomic Soldier	Thrash Metal	Active	São Paulo	São Paulo
Attomica	Thrash Metal	Active	São José dos Campos	São Paulo
Attractha	Hard Rock/Heavy Metal	Active	São Paulo	São Paulo
Attro	Speed/Thrash Metal	Split-up	Pelotas	Rio Grande do Sul
Au Sacre des Nuits	Funeral Doom/Black Metal	On hold	São Paulo	São Paulo
Aura Scent	Death/Thrash/Progressive Metal	Active	Osório	Rio Grande do Sul
Auro Control	Progressive Power Metal	Active	Salvador	Bahia
Aurora Ancestral	Doom/Black Metal	Active	Rio Negro	Paraná
Aurora Ígnea	Black Metal	Split-up	Teresina	Piauí
Aurora Ortus	Black/Doom Metal	Active	São Paulo	São Paulo
Auryah	Power/Groove Metal	Active	São Paulo	São Paulo
Ausbomben	Black Metal	Split-up	Joinville	Santa Catarina
Auschwitz	Brutal Death Metal	Split-up	São José do Rio Preto	São Paulo
Auschwitz	Thrash Metal	Split-up	Natal	Rio Grande do Norte
Aüscülta	Death Metal/Grindcore	Active	Aracaju	Sergipe
Austhral	Symphonic Black/Folk Metal	Split-up	Florianópolis	Santa Catarina
Australes Tenebris	Black Metal	Split-up	Erechim	Rio Grande do Sul
Austrum Legio	Black Metal	Active	Curitiba	Paraná
Autarchy	Melodic Death Metal	Unknown	Sete Lagoas	Minas Gerais
Autodestrutivo	Depressive Black Metal	Active	Curitiba	Paraná
Autopse	Death/Thrash Metal	Active	Maceió	Alagoas
Autopsia	Thrash Metal	Unknown	Pindamonhangaba	São Paulo
Autopsy Dementia	Thrash Metal	Split-up	São Gonçalo	Rio de Janeiro
Autrest	Atmospheric Black Metal	Active	Rio Grande do Sul	
Autumn Flowers	Melodic Death/Doom Metal	Split-up	Juiz de Fora	Minas Gerais
