Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	Natal, Rio Grande do Norte	Active	2002	Thrash Metal	Anti-War, Politics, Social Criticism, Insanity	Unsigned/independent	2002-2012, 2020-present	https://www.metal-archives.com/bands/Killing_Fields/3540484189
Brazil	Sorocaba/Boituva, São Paulo	Active	N/A	Thrash Metal	Hell, Violence, Death	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Killing_Ground/77056
Brazil	Santos, São Paulo	Active	2013	Heavy Metal	Rock 'n' Roll, Drugs, War, Life, Sex, Gambling, Humour	Unsigned/independent	2013-present	https://www.metal-archives.com/bands/KillMister/3540442009
Brazil	Rio de Janeiro, Rio de Janeiro	Active	1993	Thrash/Death Metal	N/A	Unsigned/independent	1993-present	https://www.metal-archives.com/bands/Killrape/3540316270
Brazil	Rio de Janeiro, Rio de Janeiro	Unknown	2005	Thrash Metal	N/A	Unsigned/independent	2001-2005 (as Crimson Tide), 2005-?	https://www.metal-archives.com/bands/King_Nothing/3540274863
Brazil	São Paulo, São Paulo	Active	2009	Heavy Metal	N/A	Unsigned/independent	?-2019, 2009-2019, 2009-present	https://www.metal-archives.com/bands/King_of_Bones/3540363444
Brazil	São José do Rio Preto, São Paulo	Active	2021	Melodic Black/Death Metal	Darkness and medieval tales	Unsigned/independent	2021-present	https://www.metal-archives.com/bands/King_ov_Deception/3540506189
Brazil	Leme, São Paulo	Active	2002	Death Metal	Violence	Unsigned/independent	2002-2008, 2019-present	https://www.metal-archives.com/bands/Kingdom_of_Maggots/15229
Brazil	Presidente Prudente, São Paulo	Active	2017	Experimental Thrash/Groove Metal	Social criticism, Personal struggles, Anti-fascism	Unsigned/independent	2017-present	https://www.metal-archives.com/bands/Kinoglass/3540471078
Brazil	Caruaru, Pernambuco	Active	2001	Heavy Metal	N/A	Unsigned/independent	?-? (as Omnia Vincit), 2003-present	https://www.metal-archives.com/bands/Kinto_Karma/115398
Brazil	São Paulo, São Paulo	Split-up	1998	Heavy Metal	Human feelings, Societal issues	Unsigned/independent	1998-2018	https://www.metal-archives.com/bands/Kissif.../47462
Brazil	Belém, Pará	Active	2017	Metalcore	N/A	Unsigned/independent	2017-present	https://www.metal-archives.com/bands/Kizilia/3540532488
Brazil	Goiânia, Goiás	Unknown	2009	Heavy Metal	N/A	Unsigned/independent	2009-?	https://www.metal-archives.com/bands/Klasiv/3540516121
Brazil	Salvador, Bahia	Active	2002	Thrash/Death Metal	War	Unsigned/independent	2003-present	https://www.metal-archives.com/bands/Knightrider/24786
Brazil	Fortaleza, Ceará	Active	N/A	Heavy Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Knights/3540517371
Brazil	São Paulo	Active	2022	Progressive Death Metal	N/A	Unsigned/independent	2022-present	https://www.metal-archives.com/bands/Kocytus/3540552489
Brazil	Manaus, Amazonas	Active	N/A	Black Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Kodama_Mononoke/3540527130
